Language,Cluster
Cheyenne.txt,0
Central Kurdish.txt,0
Dagbani.txt,0
Eastern Mari.txt,0
Dinka.txt,0
Dzongkha.txt,0
Chuvash.txt,0
Fanti.txt,0
Tumbuka.txt,0
Tyap.txt,0
Venda.txt,0
Tulu.txt,0
Tibetan.txt,0
Tok Pisin.txt,0
Shan.txt,0
Shona.txt,0
Standard Moroccan Tamazight.txt,0
Sundanese.txt,0
Southern Dagaare.txt,0
Southern Altai.txt,0
South Ndebele.txt,0
Goan Konkani.txt,0
Tajik.txt,0
Farefare.txt,0
Somali.txt,0
Kalaallisut.txt,0
Khmer.txt,0
Ingush.txt,0
Igbo.txt,0
Hawaiian.txt,0
Iban.txt,0
Hebrew.txt,0
Sanskrit.txt,0
Santali.txt,0
Ruthenian.txt,0
Saraiki.txt,0
Oriya (macrolanguage).txt,0
Oromo.txt,0
Kashmiri.txt,0
Pa'O Karen.txt,0
Manipuri.txt,0
Low German.txt,0
Lower Sorbian.txt,0
Mon.txt,0
Lao.txt,0
Kurdish.txt,0
Komi.txt,0
Lingala.txt,0
Javanese.txt,0
map-bms.txt,0
Bavarian.txt,0
Batak Toba.txt,0
Bislama.txt,0
Wolof.txt,0
West Coast Bajau.txt,0
Burmese.txt,0
Balinese.txt,0
Banjar.txt,0
Avaric.txt,0
Assamese.txt,0
Novial.txt,0
Nyanja.txt,0
Obolo.txt,0
Northern Sami.txt,0
Yiddish.txt,0
cbk-zam.txt,0
eml.txt,0
Mirandese.txt,1
Lojban.txt,1
Livvi.txt,1
Moksha.txt,1
Ligurian.txt,1
Komi-Permyak.txt,1
Komering.txt,1
Kusaal.txt,1
Ladin.txt,1
Jamaican Creole English.txt,1
Inuktitut.txt,1
Pedi.txt,1
Pali.txt,1
Mossi.txt,1
Tetum.txt,1
Egyptian Arabic.txt,1
Fon.txt,1
Sranan Tongo.txt,1
Fijian.txt,1
Sediq.txt,1
Southern Sotho.txt,1
Ghanaian Pidgin English.txt,1
Tsonga.txt,1
Twi.txt,1
Veps.txt,1
Vlax Romani.txt,1
Tswana.txt,1
Chamorro.txt,1
Abkhazian.txt,1
Sylheti.txt,1
Friulian.txt,1
Ganda.txt,1
Gagauz.txt,1
Gorontalo.txt,1
Awadhi.txt,1
roa-rup.txt,1
Atayal.txt,1
Angika.txt,1
Narom.txt,1
Batak Mandailing.txt,1
Bishnupriya.txt,1
Wayuu.txt,1
Inupiaq.txt,1
Interlingue.txt,1
Saterfriesisch.txt,2
Galician.txt,2
Gan Chinese.txt,2
Fiji Hindi.txt,2
Scottish Gaelic.txt,2
Walloon.txt,2
Church Slavic.txt,2
Adyghe.txt,2
Corsican.txt,2
Scots.txt,2
Sicilian.txt,2
Achinese.txt,2
Central Kanuri.txt,2
Catalan.txt,2
Turkmen.txt,2
Venetian.txt,2
Vlaams.txt,2
Moroccan Arabic.txt,2
Maori.txt,2
Macedonian.txt,2
Limburgan.txt,2
Lingua Franca Nova.txt,2
Romansh.txt,2
Kongo.txt,2
Latin.txt,2
Russia Buriat.txt,2
Pushto.txt,2
Karachay-Balkar.txt,2
Kabyle.txt,2
Kabardian.txt,2
Kannada.txt,2
Kadazan Dusun.txt,2
Ossetian.txt,2
Irish.txt,2
Interlingua (International Auxiliary Language Association).txt,2
Ido.txt,2
Gothic.txt,2
Hakka Chinese.txt,2
Haitian.txt,2
Guarani.txt,2
Hindi.txt,2
Slovenian.txt,2
Sindhi.txt,2
Old English (ca. 450-1100).txt,2
Occitan (post 1500).txt,2
Asturian.txt,2
Newari.txt,2
Norwegian Nynorsk.txt,2
Neapolitan.txt,2
Wu Chinese.txt,2
Western Frisian.txt,2
Breton.txt,2
Waray (Philippines).txt,2
Arpitan.txt,2
bh.txt,2
Yoruba.txt,2
be-tarask.txt,2
nah.txt,2
zh-min-nan.txt,2
zh-classical.txt,3
bat-smg.txt,3
be-x-old.txt,3
Yakut.txt,3
Western Mari.txt,3
Western Armenian.txt,3
Aragonese.txt,3
Armenian.txt,3
Aymara.txt,3
Azerbaijani.txt,3
Albanian.txt,3
Belarusian.txt,3
Bashkir.txt,3
Basque.txt,3
Bosnian.txt,3
Bulgarian.txt,3
Arabic.txt,3
Malagasy.txt,3
Lithuanian.txt,3
Malayalam.txt,3
Korean.txt,3
Latvian.txt,3
Latgalian.txt,3
Min Dong Chinese.txt,3
N'Ko.txt,3
Manx.txt,3
Mingrelian.txt,3
Mongolian.txt,3
Northern Frisian.txt,3
Modern Greek (1453).txt,3
Nias.txt,3
Official Aramaic(700-300 BCE).txt,3
Russian.txt,3
Ladino.txt,3
Lak.txt,3
Madurese.txt,3
Tachelhit.txt,3
Finnish.txt,3
Ukrainian.txt,3
Urdu.txt,3
Vietnamese.txt,3
Tuvinian.txt,3
Serbo-Croatian.txt,3
Uzbek.txt,3
Serbian.txt,3
Slovak.txt,3
Silesian.txt,3
Spanish.txt,3
Uighur.txt,3
Kazakh.txt,3
Kirghiz.txt,3
Hungarian.txt,3
Iloko.txt,3
Japanese.txt,3
Italian.txt,3
Kara-Kalpak.txt,3
Pangasinan.txt,3
Pfaelzisch.txt,3
Quechua.txt,3
Romanian.txt,3
Portuguese.txt,3
Pontic.txt,3
Polish.txt,3
Rusyn.txt,3
South Azerbaijani.txt,3
Swedish.txt,3
Tagalog.txt,3
Georgian.txt,3
Croatian.txt,3
Czech.txt,3
Cornish.txt,3
Crimean Tatar.txt,3
Esperanto.txt,3
Estonian.txt,3
Dimli (individual language).txt,3
Danish.txt,3
Thai.txt,3
Tatar.txt,3
Talysh.txt,3
Turkish.txt,3
Dutch.txt,3
Chinese.txt,3
nds-nl.txt,4
Welsh.txt,4
Kotava.txt,4
Lezghian.txt,4
Maltese.txt,4
Lombard.txt,4
Mazanderani.txt,4
