Language,Cluster
Amis.txt,0
South Ndebele.txt,0
Dotyali.txt,0
Dagbani.txt,0
Fon.txt,0
Tulu.txt,0
Sylheti.txt,0
Tachelhit.txt,0
Tibetan.txt,0
Ghanaian Pidgin English.txt,0
Kikuyu.txt,0
Komi.txt,0
Lak.txt,0
Sango.txt,0
Russia Buriat.txt,0
Rundi.txt,0
Shan.txt,0
Inupiaq.txt,0
Manipuri.txt,0
Atikamekw.txt,0
Navajo.txt,0
Pedi.txt,0
Lao.txt,0
Bambara.txt,0
Udmurt.txt,0
Buginese.txt,0
Batak Toba.txt,0
West Coast Bajau.txt,0
Fiji Hindi.txt,1
Fanti.txt,1
Ewe.txt,1
Tok Pisin.txt,1
Igbo.txt,1
Hausa.txt,1
Ganda.txt,1
Galician.txt,1
Georgian.txt,1
Guarani.txt,1
Gujarati.txt,1
Hawaiian.txt,1
Igala.txt,1
Hebrew.txt,1
Fulah.txt,1
Sranan Tongo.txt,1
Komi-Permyak.txt,1
Jamaican Creole English.txt,1
Kinyarwanda.txt,1
Latgalian.txt,1
Ingush.txt,1
Slovak.txt,1
Kazakh.txt,1
Turkish.txt,1
Telugu.txt,1
Tigrinya.txt,1
Tahitian.txt,1
Tosk Albanian.txt,1
Sundanese.txt,1
Southern Sotho.txt,1
Swati.txt,1
Dutch.txt,1
Dhivehi.txt,1
simple.txt,1
roa-rup.txt,1
Armenian.txt,1
Avaric.txt,1
Polish.txt,1
Moksha.txt,1
Mongolian.txt,1
Madurese.txt,1
Pampanga.txt,1
Oromo.txt,1
Pangasinan.txt,1
Nigerian Pidgin.txt,1
Norwegian Nynorsk.txt,1
Pali.txt,1
Ossetian.txt,1
Russian.txt,1
Serbian.txt,1
Romanian.txt,1
Korean.txt,1
Lezghian.txt,1
Kongo.txt,1
Macedonian.txt,1
Xhosa.txt,1
Bavarian.txt,1
Wayuu.txt,1
Ukrainian.txt,1
Vlaams.txt,1
Tyap.txt,1
Chechen.txt,1
Tuvinian.txt,1
Estonian.txt,1
bat-smg.txt,1
Asturian.txt,1
Southern Dagaare.txt,1
Finnish.txt,1
Wolof.txt,1
Gun.txt,2
Ido.txt,2
Gilaki.txt,2
Talysh.txt,2
Tetum.txt,2
roa-tara.txt,2
Iloko.txt,2
Romansh.txt,2
Sediq.txt,2
Inari Sami.txt,2
Ruthenian.txt,2
Sardinian.txt,2
Saterfriesisch.txt,2
Scottish Gaelic.txt,2
Quechua.txt,2
Sicilian.txt,2
Official Aramaic (700-300 BCE).txt,2
Hakka Chinese.txt,2
Church Slavic.txt,2
eml.txt,2
Achinese.txt,2
Chuvash.txt,2
nah.txt,2
Abkhazian.txt,2
Adyghe.txt,2
Atayal.txt,2
Arpitan.txt,2
Crimean Tatar.txt,2
Dimli (individual language).txt,2
Friulian.txt,2
Southern Altai.txt,2
Min Dong Chinese.txt,2
Malagasy.txt,2
Mirandese.txt,2
Pennsylvania German.txt,2
Lingua Franca Nova.txt,2
Ligurian.txt,2
Lower Sorbian.txt,2
Livvi.txt,2
Mossi.txt,2
Occitan (post 1500).txt,2
Newari.txt,2
Nias.txt,2
Paiwan.txt,2
Northern Sami.txt,2
Aymara.txt,2
Batak Mandailing.txt,2
Upper Sorbian.txt,2
Cherokee.txt,2
Awadhi.txt,2
Central Kanuri.txt,2
Waray (Philippines).txt,2
Walloon.txt,2
Vlax Romani.txt,2
Yiddish.txt,2
Western Armenian.txt,3
Zulu.txt,3
Uzbek.txt,3
Twi.txt,3
Veps.txt,3
Vietnamese.txt,3
Venda.txt,3
Uighur.txt,3
Chamorro.txt,3
Burmese.txt,3
Bislama.txt,3
Bishnupriya.txt,3
Cebuano.txt,3
Cheyenne.txt,3
Bengali.txt,3
Picard.txt,3
Limburgan.txt,3
Lingala.txt,3
Malay (macrolanguage).txt,3
