Group,Cluster,Year,Distinctiveness
ideologies,0,1896,0.8785687588289711
ideologies,0,1954,0.9626023392512114
ideologies,0,1978,0.8692434771437415
ideologies,0,2015,0.867148693635952
ideologies,0,2022,1.0
ideologies,1,1881,0.8119898672071876
ideologies,1,1730,0.8239163196206349
ideologies,1,1823,0.867594624176515
ideologies,1,1904,0.9018753118054625
ideologies,1,1744,0.9667976264403667
ideologies,1,1754,1.0
ideologies,2,1702,0.9179886913100261
ideologies,2,1708,0.89853433209818
ideologies,2,1714,1.0
ideologies,2,1727,0.8481839638538504
ideologies,2,1737,0.8015845454446753
ideologies,2,1757,0.8554470944341838
ideologies,3,1907,0.8380058340312948
ideologies,3,1919,1.0
ideologies,3,1936,0.8415542838377785
ideologies,3,1942,0.9475424175878254
ideologies,4,1779,0.6448817097610399
ideologies,4,1792,0.5167285590603605
ideologies,4,1849,0.44607586622315454
