Group,Cluster,Year,Distinctiveness
objects,0,1973,0.6585752993109079
objects,0,1967,0.6661512086645794
objects,0,1961,0.6953650965157417
objects,0,1915,0.7017531518421625
objects,0,1924,0.7142625182365315
objects,0,1948,1.0
objects,1,1739,0.9347863148243545
objects,1,1847,0.9370304409412474
objects,1,1730,0.9462535570294434
objects,1,1812,0.9600638816576669
objects,1,1715,0.9728402166217889
objects,1,1720,1.0
objects,2,1777,0.06913552963183658
objects,2,1884,0.08699043309874174
objects,2,1971,0.1425824476924145
objects,2,2000,0.811423960031203
objects,2,2015,0.18673249044664542
objects,2,2023,1.0
objects,3,1980,0.7212650905551291
objects,3,1995,0.7109642491278657
objects,3,2001,1.0
objects,3,2006,0.8139649188791692
objects,3,2012,0.9581736638944286
objects,3,2023,0.8640228189462903
objects,4,1882,0.6459850911419373
objects,4,1795,0.68224650045101
objects,4,1943,0.7102243797843961
objects,4,1742,0.7580395847306403
objects,4,1770,0.7741727910876467
objects,4,1782,1.0
